id	due_date	family	t_smd	t_aoi
0	1.81455	14	1.81455	0
1	3.10828	14	2.15828	0
2	6.62153	14	4.72153	0
3	7.64972	11	4.79972	0
4	8.82201	4	5.02202	0
5	8.12765	2	3.37765	0
6	7.76595	3	2.06595	0
7	8.62074	5	1.97074	0
8	13.0915	8	5.49152	0
9	12.3531	7	3.80314	0
10	11.087	4	1.58704	0
11	15.0771	9	4.62709	0
12	12.8979	10	1.49788	0
13	13.9962	1	1.64621	0
14	15.7446	3	2.44455	0
15	17.9869	1	3.73686	0
16	20.6581	4	5.45812	0
17	17.8537	6	1.70367	0
18	18.9534	10	1.85335	0
19	20.6065	0	2.55648	0
20	22.5552	2	3.55516	0
21	21.754	5	1.80404	0
22	25.288	9	4.38802	0
23	23.3005	7	1.45054	0
24	25.9827	1	3.18271	0
25	28.6377	6	4.88768	0
26	27.5522	14	2.85215	0
27	30.3704	2	4.72043	0
28	30.7098	5	4.10978	0
29	31.6153	0	4.06533	0
30	33.119	7	4.61901	0
31	32.0039	0	2.55394	0
32	33.3053	3	2.90529	0
33	35.5729	8	4.22287	0
34	36.8842	8	4.58421	0
35	34.7308	10	1.48079	0
36	39.3004	0	5.10036	0
37	37.0528	4	1.90283	0
38	40.5259	9	4.42595	0
39	42.8723	6	5.8223	0
40	41.4222	1	3.42221	0
41	40.8433	13	1.89328	0
42	45.8183	9	5.91828	0
43	46.8242	12	5.97423	0
44	45.9947	3	4.19473	0
45	44.708	3	1.95797	0
46	49.6836	2	5.98362	0
47	45.789	9	1.13898	0
48	48.0191	12	2.41907	0
49	49.6041	3	3.05411	0
50	51.7463	12	4.24628	0
51	51.846	1	3.396	0
52	55.1167	7	5.71669	0
53	52.3633	5	2.01334	0
54	55.7138	9	4.41379	0
55	57.0813	1	4.83127	0
56	55.5159	3	2.31589	0
57	56.8303	6	2.68029	0
58	56.1188	13	1.01877	0
59	60.0823	0	4.03228	0
60	62.8288	9	5.82884	0
61	61.258	7	3.30804	0
62	63.314	8	4.41401	0
63	62.2505	0	2.40055	0
64	63.3978	4	2.59777	0
65	66.9906	14	5.24064	0
66	65.7424	8	3.04241	0
67	66.0997	1	2.44967	0
68	67.5231	3	2.9231	0
69	68.7509	5	3.20094	0
70	68.3245	12	1.82446	0
71	73.1292	2	5.67921	0
72	70.6738	2	2.27381	0
73	73.9818	5	4.63181	0
74	73.8018	10	3.50177	0
75	75.6572	2	4.40723	0
76	76.6839	14	4.4839	0
77	78.9268	10	5.77676	0
78	79.668	11	5.56799	0
79	78.9409	10	3.89093	0
