ID	due_date	family	t_smd	t_aoi	smd_machine
1	1305	3	192	1e-13	0
29	1305	29	82	1e-13	0
30	2610	34	82	1e-13	0
23	2610	15	13	1e-13	0
24	3915	23	59	1e-13	0
31	3915	34	1032	1e-13	0
59	3915	37	492	1e-13	0
39	5220	10	584	1e-13	0
32	5220	36	759	1e-13	0
33	6525	38	1185	1e-13	0
47	6525	11	249	1e-13	0
27	7830	28	81	1e-13	0
41	7830	10	92	1e-13	0
6	7830	16	245	1e-13	0
28	9135	29	65	1e-13	0
63	9135	42	515	1e-13	0
65	10440	42	83	1e-13	0
93	10440	37	1510	1e-13	0
66	11745	40	269	1e-13	0
108	11745	12	96	1e-13	0
102	13050	6	86	1e-13	0
95	13050	39	67	1e-13	0
96	14355	38	190	1e-13	0
75	14355	9	23	1e-13	0
83	15660	15	470	1e-13	0
97	15660	39	213	1e-13	0
112	16965	39	147	1e-13	0
70	16965	17	54	1e-13	0
85	18270	24	30	1e-13	0
78	18270	10	522	1e-13	0
134	19575	7	114	1e-13	0
162	19575	13	162	1e-13	0
135	20880	9	10	1e-13	0
142	20880	24	131	1e-13	0
136	22185	9	20	1e-13	0
129	22185	8	1275	1e-13	0
144	23490	29	22	1e-13	0
152	24795	38	3736	1e-13	0
166	24795	37	325	1e-13	0
146	26100	34	38	1e-13	0
160	26100	10	100	1e-13	0
147	27405	35	220	1e-13	0
161	27405	13	284	1e-13	0
8	1305	19	49	1e-13	1
43	1305	10	36	1e-13	1
37	2610	5	160	1e-13	1
51	2610	14	367	1e-13	1
17	3915	10	5	1e-13	1
52	3915	43	1041	1e-13	1
38	3915	5	85	1e-13	1
53	5220	36	329	1e-13	1
60	5220	37	408	1e-13	1
54	6525	36	16	1e-13	1
5	6525	40	188	1e-13	1
55	7830	39	225	1e-13	1
34	7830	41	58	1e-13	1
56	9135	39	708	1e-13	1
7	9135	18	5	1e-13	1
42	9135	10	57	1e-13	1
72	10440	27	882	1e-13	1
100	10440	4	277	1e-13	1
80	11745	15	15	1e-13	1
87	11745	34	113	1e-13	1
88	13050	34	225	1e-13	1
67	13050	19	101	1e-13	1
82	14355	15	506	1e-13	1
103	14355	6	17	1e-13	1
111	15660	37	46	1e-13	1
90	15660	35	117	1e-13	1
105	16965	10	1254	1e-13	1
91	16965	35	402	1e-13	1
92	18270	35	128	1e-13	1
106	18270	10	2116	1e-13	1
141	19575	23	155	1e-13	1
169	19575	4	2375	1e-13	1
156	20880	6	14	1e-13	1
170	20880	4	944	1e-13	1
122	22185	36	1296	1e-13	1
158	23490	10	63	1e-13	1
165	23490	37	162	1e-13	1
131	24795	7	97	1e-13	1
145	24795	29	31	1e-13	1
139	26100	15	26	1e-13	1
132	26100	7	169	1e-13	1
133	27405	7	380	1e-13	1
140	27405	23	760	1e-13	1
15	1305	9	325	1e-13	2
50	1305	13	30	1e-13	2
2	2610	35	700	1e-13	2
58	2610	37	422	1e-13	2
45	3915	10	32	1e-13	2
57	3915	37	492	1e-13	2
25	5220	24	53	1e-13	2
4	5220	43	60	1e-13	2
46	5220	11	992	1e-13	2
12	6525	8	133	1e-13	2
61	6525	38	228	1e-13	2
20	7830	11	566	1e-13	2
13	7830	8	133	1e-13	2
49	9135	13	130	1e-13	2
14	9135	7	84	1e-13	2
9	10440	27	400	1e-13	2
79	10440	15	69	1e-13	2
107	10440	11	118	1e-13	2
101	11745	5	262	1e-13	2
115	11745	33	1469	1e-13	2
81	13050	15	69	1e-13	2
116	13050	4	1740	1e-13	2
110	14355	13	255	1e-13	2
117	14355	40	1198	1e-13	2
69	15660	17	60	1e-13	2
118	15660	33	784	1e-13	2
84	16965	24	56	1e-13	2
119	16965	26	1175	1e-13	2
71	18270	18	29	1e-13	2
120	19575	43	15	1e-13	2
148	19575	35	133	1e-13	2
121	20880	3	256	1e-13	2
128	20880	18	44	1e-13	2
143	22185	29	52	1e-13	2
164	22185	37	1485	1e-13	2
137	23490	10	91	1e-13	2
130	23490	7	160	1e-13	2
138	24795	15	109	1e-13	2
159	24795	10	199	1e-13	2
153	26100	31	419	1e-13	2
94	27405	38	1238	1e-13	2
154	27405	41	498	1e-13	2
22	1305	15	13	1e-13	3
64	1305	2	2	1e-13	3
44	2610	10	19	1e-13	3
16	2610	9	21	1e-13	3
3	3915	36	1604	1e-13	3
10	3915	8	47	1e-13	3
11	5220	8	200	1e-13	3
18	5220	10	224	1e-13	3
26	6525	24	363	1e-13	3
19	6525	10	51	1e-13	3
40	6525	10	727	1e-13	3
48	7830	13	333	1e-13	3
62	7830	42	549	1e-13	3
21	9135	12	99	1e-13	3
35	9135	41	42	1e-13	3
36	10440	41	550	1e-13	3
86	10440	28	147	1e-13	3
114	10440	40	380	1e-13	3
73	11745	8	16	1e-13	3
74	13050	7	167	1e-13	3
109	13050	13	863	1e-13	3
68	14355	16	204	1e-13	3
89	14355	35	328	1e-13	3
76	15660	9	87	1e-13	3
104	15660	10	389	1e-13	3
98	16965	41	12	1e-13	3
77	16965	9	26	1e-13	3
113	18270	37	405	1e-13	3
99	18270	15	32	1e-13	3
127	19575	17	872	1e-13	3
155	19575	5	101	1e-13	3
149	20880	37	193	1e-13	3
163	20880	37	632	1e-13	3
157	22185	10	24	1e-13	3
150	22185	38	597	1e-13	3
151	23490	38	1257	1e-13	3
123	23490	43	31	1e-13	3
124	24795	42	349	1e-13	3
125	26100	1	365	1e-13	3
167	26100	39	330	1e-13	3
126	27405	16	187	1e-13	3
168	27405	41	412	1e-13	3
