ID	due_date	family	t_smd	t_aoi	smd_machine
32	417.656	4	313.969	1e-13	1
40	873.263	4	392.843	1e-13	1
24	2269.2	4	247.76	1e-13	1
27	1286.78	4	267.581	1e-13	1
20	1204.37	2	223.81	1e-13	1
12	1703.24	2	140.226	1e-13	1
79	2386	1	786.98	1e-13	1
0	2649.57	0	5.16864	1e-13	1
8	3327.08	0	78.1722	1e-13	1
1	3286.36	3	17.8699	1e-13	1
5	5217.22	3	41.7393	1e-13	1
6	4317.08	3	52.9986	1e-13	1
10	3563.14	2	105.696	1e-13	1
25	5257.04	8	256.42	1e-13	1
36	3891.33	8	357.053	1e-13	1
45	4356.08	8	447.697	1e-13	1
66	5249.56	8	660.078	1e-13	1
18	1229.96	8	191.559	1e-13	1
41	5650.27	4	414.279	1e-13	1
19	9375.01	4	195.599	1e-13	1
72	7622.85	9	703.901	1e-13	1
91	8096.76	7	915.953	1e-13	1
85	3111.12	8	838.28	1e-13	1
51	8748.03	8	530.625	1e-13	1
42	9164.81	4	423.272	1e-13	1
68	9649.91	4	695.379	1e-13	1
57	11506.8	4	557.825	1e-13	1
55	11313.5	6	551.69	1e-13	1
2	5117.81	9	31.3203	1e-13	1
31	7791.9	9	313.205	1e-13	1
59	5257.38	8	590.734	1e-13	1
28	4453.28	0	286.959	1e-13	1
30	947.396	1	301.063	1e-13	2
33	1542.42	0	321.861	1e-13	2
39	3550.73	7	387.982	1e-13	2
43	2556.43	7	421.696	1e-13	2
94	2749.47	7	933.749	1e-13	2
60	3105.92	6	611.666	1e-13	2
11	5321.54	6	120.413	1e-13	2
69	4135.62	6	679.88	1e-13	2
75	6276.55	6	757.557	1e-13	2
77	5749.33	9	765.057	1e-13	2
76	6077.94	9	748.581	1e-13	2
58	7391.37	9	580.716	1e-13	2
17	784.16	9	180.383	1e-13	2
80	8488.28	9	805.495	1e-13	2
21	8050.92	6	210.931	1e-13	2
35	8068.78	2	358.978	1e-13	2
7	8991.48	2	59.638	1e-13	2
83	9514.27	7	822.511	1e-13	2
49	2156.94	7	495.986	1e-13	2
71	10886.2	1	726.213	1e-13	2
89	3359.01	9	898.839	1e-13	2
92	10089.5	4	910.457	1e-13	2
61	9118.17	5	591.691	1e-13	2
47	11095.9	9	491.862	1e-13	2
88	1084.61	9	883.223	1e-13	3
95	1239.18	8	951.009	1e-13	3
70	3679.62	8	716.597	1e-13	3
44	4693.65	6	429.886	1e-13	3
52	4575.02	6	520.939	1e-13	3
84	4625.04	2	834.167	1e-13	3
14	5078.97	2	150.353	1e-13	3
38	5123.8	2	383.661	1e-13	3
26	6243.79	5	266.135	1e-13	3
54	6642.07	5	558.827	1e-13	3
50	6626.75	1	513.434	1e-13	3
15	7223.93	1	144.551	1e-13	3
9	9582.46	0	88.7839	1e-13	3
62	7624.88	0	636.452	1e-13	3
67	8466.8	0	691.292	1e-13	3
22	9210.05	0	232.553	1e-13	3
29	2049.85	1	295.685	1e-13	3
87	9064.26	3	881.401	1e-13	3
46	10532.9	4	461.375	1e-13	3
23	709.21	2	238.711	1e-13	3
3	5959.03	1	36.8379	1e-13	3
96	11638.7	7	972.587	1e-13	3
4	4506.69	6	39.8315	1e-13	3
65	1907.23	5	646.105	1e-13	3
53	3461.57	9	538.791	1e-13	3
48	2487	6	487.509	1e-13	4
74	1517.99	0	729.521	1e-13	4
56	2042.06	2	569.655	1e-13	4
63	2844.37	4	639.232	1e-13	4
82	3124.24	5	817.598	1e-13	4
86	6260.64	1	848.088	1e-13	4
93	6231.81	1	923.888	1e-13	4
97	6383.31	3	999.425	1e-13	4
13	6391.6	5	127.524	1e-13	4
37	7159.83	3	372.723	1e-13	4
78	7774.74	3	771.615	1e-13	4
90	8712.39	9	880.498	1e-13	4
98	8818.23	2	983.051	1e-13	4
34	9225.45	5	343.707	1e-13	4
81	8842.17	5	823.037	1e-13	4
73	4964.76	5	726.776	1e-13	4
99	12058.5	6	984.585	1e-13	4
64	618.903	5	618.903	1e-13	4
16	4775.97	3	155.383	1e-13	4
