scaling_factor	Tardiness	makespan	# late jobs	# large set-ups	delta makespan
-100	306310	21793	54	164	5874
-99.9	315973	19979	63	155	4464
-99.8	315094	24794	55	150	10461
-99.7	312749	21617	68	156	6520
-99.6	325249	24171	59	161	9462
-99.5	271196	21603	50	161	7778
-99.4	314053	25644	56	160	11884
-99.3	281640	22292	54	160	7733
-99.2	317929	20845	60	158	4089
-99.1	317864	21670	56	158	7398
-99	318756	22744	54	161	8481
-98.9	317995	19420	60	158	2367
-98.8	344887	20915	71	161	5189
-98.7	326897	22242	63	156	8909
-98.6	330652	20127	64	155	4555
-98.5	331792	22454	62	158	7398
-98.4	320898	19989	63	162	4057
-98.3	317285	19800	64	159	3560
-98.2	321809	19874	70	157	4651
-98.1	295859	20659	57	163	6868
-98	290568	23993	58	158	10151
-97.9	322291	20085	68	155	3510
-97.8	346787	20211	58	160	5929
-97.7	286339	19625	64	158	3039
-97.6	338574	24265	56	160	9528
-97.5	334235	19910	73	163	3255
-97.4	320615	25289	55	159	15211
-97.3	319145	22671	56	160	8263
-97.2	299998	24823	56	162	11519
-97.1	333851	23897	62	158	9693
-97	338799	20856	62	160	7243
-96.9	328650	26589	59	156	14021
-96.8	323843	26574	55	152	12195
-96.7001	338061	24873	63	161	13096
-96.6001	332872	23308	55	163	10299
-96.5001	297035	22989	58	160	10902
-96.4001	331964	22485	63	159	7847
-96.3001	327305	23257	60	159	10882
-96.2001	341498	22077	66	159	6115
-96.1001	307300	24010	60	159	9428
-96.0001	329895	23842	62	159	8061
-95.9001	327622	19280	53	157	2333
-95.8001	334099	20790	68	156	6458
-95.7001	335088	21425	66	160	9241
-95.6001	299810	24006	58	161	10404
-95.5001	307523	21466	57	159	6730
-95.4001	327147	21414	61	160	6073
-95.3001	318479	19930	65	158	5122
-95.2001	336697	21751	61	159	7556
-95.1001	339140	21560	60	162	9109
-95.0001	328525	22230	55	158	10627
-94.9001	286078	20901	55	160	4960
-94.8001	328102	25800	57	159	11939
-94.7001	350196	22955	62	161	8098
-94.6001	343312	22035	59	160	6320
-94.5001	327001	26667	57	162	15408
-94.4001	312319	21480	68	156	6970
-94.3001	314464	22353	58	162	8512
-94.2001	307179	21656	59	163	5946
-94.1001	335609	19245	67	158	2302
-94.0001	314225	22261	65	159	7719
-93.9001	290233	26815	53	161	12098
-93.8001	347278	25010	60	160	12413
-93.7001	340440	23983	58	163	10101
-93.6001	311326	19458	58	156	4522
-93.5001	332024	22595	57	160	10093
-93.4001	313338	20482	53	157	5499
-93.3001	368653	25479	57	160	13372
-93.2001	325092	21824	62	162	6431
-93.1001	300414	20852	56	161	8979
-93.0001	346902	19956	67	163	4008
-92.9001	313490	22363	55	159	6618
-92.8001	320871	20372	65	159	5388
-92.7001	305439	20166	67	161	3462
-92.6001	326053	27771	54	159	13897
-92.5001	326348	22531	70	162	7798
-92.4001	334693	21517	61	164	7930
-92.3001	335439	23582	55	162	8195
-92.2001	288100	21490	59	157	8305
-92.1001	312988	21039	57	160	5789
-92.0001	302848	20994	58	162	5098
-91.9001	315377	21042	56	156	5890
-91.8001	326466	22218	61	165	8237
-91.7001	328551	24112	61	159	9851
-91.6001	325119	21346	63	160	5818
-91.5001	333778	22317	65	158	7439
-91.4001	264753	21519	58	156	6199
-91.3001	319110	20773	69	162	4481
-91.2001	309844	22058	54	157	7713
-91.1001	329320	23887	70	156	9093
-91.0001	341846	23871	64	163	10253
-90.9001	325430	20239	67	164	5145
-90.8001	289621	20585	60	157	6069
-90.7001	334522	19921	65	157	3994
-90.6001	330824	23616	59	157	11201
-90.5001	321111	22973	68	157	7018
-90.4001	324651	21119	60	158	5397
-90.3001	277059	20241	51	159	4708
-90.2001	304020	22585	55	160	6316
-90.1002	319195	21116	60	160	4779
-90.0002	343341	26346	59	163	12537
-89.9002	322687	21782	61	159	10360
-89.8002	319817	20863	67	163	4459
-89.7002	321571	20246	58	162	3867
-89.6002	327079	22330	69	159	9018
-89.5002	319688	22379	60	162	11099
-89.4002	313998	23389	59	161	8739
-89.3002	336355	20804	63	161	9301
-89.2002	305732	22919	60	162	6636
-89.1002	342054	20119	65	159	4208
-89.0002	306879	21874	63	157	8376
-88.9002	287759	22968	60	160	8923
-88.8002	327931	22660	58	160	7354
-88.7002	302107	20868	57	160	4499
-88.6002	343209	18796	62	160	1367
-88.5002	321066	20575	61	156	4252
-88.4002	283796	22946	50	156	11094
-88.3002	288572	25568	63	162	12948
-88.2002	295478	24937	51	160	11309
-88.1002	342831	21787	59	155	6115
-88.0002	319783	23212	61	162	7450
-87.9002	324083	20075	64	162	5779
-87.8002	337658	21342	61	156	6496
-87.7002	310060	24252	60	159	9003
-87.6002	313162	23485	59	161	8986
-87.5002	326431	25275	65	159	14677
-87.4002	330343	23368	65	160	7657
-87.3002	344173	23373	63	158	11410
-87.2002	325326	21996	58	164	8591
-87.1002	337536	24533	58	162	9583
-87.0002	340410	21040	64	163	5314
-86.9002	304956	21166	60	161	6072
-86.8002	313823	20092	59	162	3015
-86.7002	311479	23709	60	158	8962
-86.6002	336741	23130	65	161	10148
